game_id,_id_game,over_under,Result
9187,664f7ee236cf90b9bbe8c3ca,220.0,Under
9188,664f7ee236cf90b9bbe8c3cb,223.0,Over
9189,664f7ee236cf90b9bbe8c3cc,219.5,Under
9190,664f7ee236cf90b9bbe8c3cd,208.0,Under
9191,664f7ee236cf90b9bbe8c3ce,214.5,Under
9192,664f7ee236cf90b9bbe8c3cf,222.0,Over
9193,664f7ee236cf90b9bbe8c3d0,227.0,Over
9194,664f7ee236cf90b9bbe8c3d1,212.0,Over
9195,664f7ee236cf90b9bbe8c3d2,209.5,Over
9196,664f7ee236cf90b9bbe8c3d3,216.5,Under
9197,664f7ee236cf90b9bbe8c3d4,206.0,Over
9198,664f7ee236cf90b9bbe8c3d5,211.5,Under
9199,664f7ee236cf90b9bbe8c3d6,246.5,Over
9200,664f7ee236cf90b9bbe8c3d7,211.5,Under
9201,664f7ee236cf90b9bbe8c3d8,220.0,Under
9202,664f7ee236cf90b9bbe8c3d9,217.0,Over
9203,664f7ee236cf90b9bbe8c3da,217.0,Under
9204,664f7ee236cf90b9bbe8c3db,223.5,Under
9205,664f7ee236cf90b9bbe8c3dc,203.5,Under
9206,664f7ee236cf90b9bbe8c3dd,212.5,Under
9207,664f7ee236cf90b9bbe8c3de,217.5,Under
9208,664f7ee236cf90b9bbe8c3df,211.5,Over
9210,664f7ee236cf90b9bbe8c3e0,223.5,Over
9211,664f7ee236cf90b9bbe8c3e1,218.0,Over
9212,664f7ee236cf90b9bbe8c3e2,218.5,Under
9213,664f7ee236cf90b9bbe8c3e3,226.0,Under
9214,664f7ee236cf90b9bbe8c3e4,246.5,Under
9215,664f7ee236cf90b9bbe8c3e5,216.5,Over
9216,664f7ee236cf90b9bbe8c3e6,223.0,Over
9217,664f7ee236cf90b9bbe8c3e7,216.5,Over
9218,664f7ee236cf90b9bbe8c3e8,213.0,Over
9219,664f7ee236cf90b9bbe8c3e9,221.5,Under
9220,664f7ee236cf90b9bbe8c3ea,221.5,Over
9221,664f7ee236cf90b9bbe8c3eb,219.0,Under
9222,664f7ee236cf90b9bbe8c3ec,222.0,Under
9223,664f7ee236cf90b9bbe8c3ed,223.5,Over
9224,664f7ee236cf90b9bbe8c3ee,216.0,Over
9225,664f7ee236cf90b9bbe8c3ef,223.5,Over
9226,664f7ee236cf90b9bbe8c3f0,221.0,Over
9227,664f7ee236cf90b9bbe8c3f1,215.0,Over
9309,664f7ee236cf90b9bbe8c3f2,230.0,Under
9310,664f7ee236cf90b9bbe8c3f3,220.5,Under
9311,664f7ee236cf90b9bbe8c3f4,221.0,Under
9312,664f7ee236cf90b9bbe8c3f5,218.5,Over
9314,664f7ee236cf90b9bbe8c3f7,220.5,Over
9317,664f7ee236cf90b9bbe8c3fa,217.5,Under
9318,664f7ee236cf90b9bbe8c3fb,231.0,Under
9319,664f7ee236cf90b9bbe8c3fc,220.0,Over
9320,664f7ee236cf90b9bbe8c3fd,216.5,Over
9573,664f7ee236cf90b9bbe8c454,227.5,Over
9574,664f7ee236cf90b9bbe8c455,223.5,Under
9575,664f7ee236cf90b9bbe8c456,215.5,Over
9576,664f7ee236cf90b9bbe8c457,221.5,Under
9577,664f7ee236cf90b9bbe8c458,224.0,Under
9578,664f7ee236cf90b9bbe8c459,234.5,Over
9579,664f7ee236cf90b9bbe8c45a,224.5,Under
9580,664f7ee236cf90b9bbe8c45b,224.5,Over
9581,664f7ee236cf90b9bbe8c45c,226.0,Over
9583,664f7ee236cf90b9bbe8c45e,211.5,Over
9584,664f7ee236cf90b9bbe8c45f,247.5,Over
9585,664f7ee236cf90b9bbe8c460,218.0,Under
9586,664f7ee236cf90b9bbe8c461,228.5,Under
9587,664f7ee236cf90b9bbe8c462,223.0,Over
9588,664f7ee236cf90b9bbe8c463,224.0,Under
9589,664f7ee236cf90b9bbe8c464,221.5,Under
9590,664f7ee236cf90b9bbe8c465,223.0,Under
9591,664f7ee236cf90b9bbe8c466,226.5,Under
9592,664f7ee236cf90b9bbe8c467,207.5,Under
9593,664f7ee236cf90b9bbe8c468,224.0,Under
9594,664f7ee236cf90b9bbe8c469,205.5,Under
9595,664f7ee236cf90b9bbe8c46a,181.5,Under
9596,664f7ee236cf90b9bbe8c46b,230.5,Under
